"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Canada","2020","Total","Both Sexes","Thunder Bay","City proper","Estimate - de jure","Final figure, complete","2021","112602","4,5"
"Canada","2020","Total","Both Sexes","Thunder Bay","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","126861","4,5"
"Canada","2020","Total","Both Sexes","Toronto","City proper","Estimate - de jure","Final figure, complete","2021","2988408","4,5"
"Canada","2020","Total","Both Sexes","Toronto","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","6555205","4,5"
"Canada","2020","Total","Both Sexes","Trois-Rivières","City proper","Estimate - de jure","Final figure, complete","2021","140420","4,5"
"Canada","2020","Total","Both Sexes","Trois-Rivières","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","163287","4,5"
"Canada","2020","Total","Both Sexes","Vancouver","City proper","Estimate - de jure","Final figure, complete","2021","697266","4,5"
"Canada","2020","Total","Both Sexes","Vancouver","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","2737698","4,5"
"Canada","2020","Total","Both Sexes","Vaughan","City proper","Estimate - de jure","Final figure, complete","2021","331572","4,5"
"Canada","2020","Total","Both Sexes","Victoria","City proper","Estimate - de jure","Final figure, complete","2021","94415","4,5"
"Canada","2020","Total","Both Sexes","Victoria","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","408883","4,5"
"Canada","2020","Total","Both Sexes","Waterloo","City proper","Estimate - de jure","Final figure, complete","2021","123358","4,5"
"Canada","2020","Total","Both Sexes","Whitby","City proper","Estimate - de jure","Final figure, complete","2021","140950","4,5"
"Canada","2020","Total","Both Sexes","Windsor","City proper","Estimate - de jure","Final figure, complete","2021","235428","4,5"
"Canada","2020","Total","Both Sexes","Windsor","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","356880","4,5"
"Canada","2020","Total","Both Sexes","Winnipeg","City proper","Estimate - de jure","Final figure, complete","2021","766894","4,5"
"Canada","2020","Total","Both Sexes","Winnipeg","Urban agglomeration","Estimate - de jure","Final figure, complete","2021","850056","4,5"
"Chile","2020","Total","Both Sexes","Alto Hospicio","City proper","Estimate - de facto","Final figure, complete","2020","129999","6"
"Chile","2020","Total","Both Sexes","Antofagasta","City proper","Estimate - de facto","Final figure, complete","2020","425725","6"
"Chile","2020","Total","Both Sexes","Arica","City proper","Estimate - de facto","Final figure, complete","2020","247552","6"
"Chile","2020","Total","Both Sexes","Buin","City proper","Estimate - de facto","Final figure, complete","2020","109641","6"
"Chile","2020","Total","Both Sexes","Calama","City proper","Estimate - de facto","Final figure, complete","2020","190336","6"
"Chile","2020","Total","Both Sexes","Cerro Navia","City proper","Estimate - de facto","Final figure, complete","2020","142465","6"
"Chile","2020","Total","Both Sexes","Chiguallante","City proper","Estimate - de facto","Final figure, complete","2020","91180","6"
"Chile","2020","Total","Both Sexes","Chillán","City proper","Estimate - de facto","Final figure, complete","2020","198624","6"
"Chile","2020","Total","Both Sexes","Colina","City proper","Estimate - de facto","Final figure, complete","2020","180353","6"
"Chile","2020","Total","Both Sexes","Concepción","City proper","Estimate - de facto","Final figure, complete","2020","238092","6"
"Chile","2020","Total","Both Sexes","Coronel","City proper","Estimate - de facto","Final figure, complete","2020","125829","6"
"Chile","2020","Total","Both Sexes","Conchalí","City proper","Estimate - de facto","Final figure, complete","2020","139195","6"
"Chile","2020","Total","Both Sexes","Copiapó","City proper","Estimate - de facto","Final figure, complete","2020","171766","6"
"Chile","2020","Total","Both Sexes","Coquimbo","City proper","Estimate - de facto","Final figure, complete","2020","256735","6"
"Chile","2020","Total","Both Sexes","Curicó","City proper","Estimate - de facto","Final figure, complete","2020","163626","6"
"Chile","2020","Total","Both Sexes","El Bosque","City proper","Estimate - de facto","Final figure, complete","2020","172000","6"
"Chile","2020","Total","Both Sexes","Hualpén","City proper","Estimate - de facto","Final figure, complete","2020","97273","6"
"Chile","2020","Total","Both Sexes","Estación Central","City proper","Estimate - de facto","Final figure, complete","2020","206792","6"
"Chile","2020","Total","Both Sexes","Huechuraba","City proper","Estimate - de facto","Final figure, complete","2020","112528","6"
"Chile","2020","Total","Both Sexes","Iquique","City proper","Estimate - de facto","Final figure, complete","2020","223463","6"
"Chile","2020","Total","Both Sexes","Independencia","City proper","Estimate - de facto","Final figure, complete","2020","142065","6"
"Chile","2020","Total","Both Sexes","La Cisterna","City proper","Estimate - de facto","Final figure, complete","2020","100434","6"
"Chile","2020","Total","Both Sexes","La Florida","City proper","Estimate - de facto","Final figure, complete","2020","402433","6"
"Chile","2020","Total","Both Sexes","La Granja","City proper","Estimate - de facto","Final figure, complete","2020","122557","6"
"Chile","2020","Total","Both Sexes","La Pintana","City proper","Estimate - de facto","Final figure, complete","2020","189335","6"
"Chile","2020","Total","Both Sexes","La Reina","City proper","Estimate - de facto","Final figure, complete","2020","100252","6"
"Chile","2020","Total","Both Sexes","La Serena","City proper","Estimate - de facto","Final figure, complete","2020","249656","6"
"Chile","2020","Total","Both Sexes","Lampa","City proper","Estimate - de facto","Final figure, complete","2020","126898","6"
"Chile","2020","Total","Both Sexes","Las Condes","City proper","Estimate - de facto","Final figure, complete","2020","330759","6"
"Chile","2020","Total","Both Sexes","Linares","City proper","Estimate - de facto","Final figure, complete","2020","101073","6"
"Chile","2020","Total","Both Sexes","Lo Barnechea","City proper","Estimate - de facto","Final figure, complete","2020","124076","6"
"Chile","2020","Total","Both Sexes","Lo Espejo","City proper","Estimate - de facto","Final figure, complete","2020","103865","6"
